 KOI  KICID     Telescope Instrument  Band    PSF  delta(m)   d    Obsdate
1209   3534076    Pal5     PHARO         J    0.30   4.21    0.5   2015-08-29
1210   3962357  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-28
1212   3749134  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-11
1214   3660924    Keck     NIRC2        K'   99.99  99.99  99.99   2014-08-17
1214   3660924  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-24
1215   3939150  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-06
1215   3939150    Pal5     PHARO        Ks    0.15   3.45    0.5   2014-07-17
1215   3939150    WIYN      DSSI     880nm    0.05   2.33    0.2   2011-06-12
1216   3839488    Lick     IRCAL         J    0.62   1.90    0.5   2011-09-11
1216   3839488  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-08-05
1218   3442055  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-06
1218   3442055    WIYN      DSSI     692nm    0.05   2.90    0.2   2011-06-16
1218   3442055    WIYN      DSSI     880nm    0.05   2.07    0.2   2011-06-16
1219   3440861    Keck     NIRC2        K'    0.05   8.00    0.5   2013-08-22
1219   3440861     MMT     ARIES        Ks    0.15   8.00    1.0   2012-10-03
1219   3440861  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-29
1220   4043190    Keck     NIRC2        K'   99.99   3.82   0.03   2012-08-13
1220   4043190    Keck     NIRC2        K'   99.99   7.40    0.5   2012-08-13
1220   4043190    Lick     IRCAL         J    0.40   2.58    0.5   2011-09-11
1220   4043190  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-06
1220   4043190    WIYN      DSSI     692nm    0.05   3.30    0.2   2011-06-14
1220   4043190    WIYN      DSSI     880nm    0.05   2.43    0.2   2011-06-14
1221   3640905    Keck     NIRC2        K'   99.99   6.50    0.5   2012-07-06
1221   3640905    Keck     NIRC2        K'   99.99   4.72   0.03   2012-07-06
1221   3640905    Keck     NIRC2        K'   99.99   7.70    0.5   2012-07-06
1221   3640905    Lick     IRCAL         J    0.26   3.43    0.5   2011-09-09
1221   3640905  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-06
1221   3640905    Pal5     PHARO        Ks   99.99  99.99  99.99   2013-07-17
1221   3640905    WIYN      DSSI     880nm    0.05   2.87    0.2   2011-06-13
1221   3640905    WIYN      DSSI     692nm    0.05   3.83    0.2   2011-06-13
1222   4060815    Keck     NIRC2        K'   99.99   5.34   0.03   2012-08-13
1222   4060815    Lick     IRCAL         H    0.27   3.20    0.5   2012-07-07
1222   4060815  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-06
1222   4060815    WIYN      DSSI     880nm    0.05   2.76    0.2   2011-06-13
1222   4060815    WIYN      DSSI     692nm    0.05   3.72    0.2   2011-06-13
1226   6621116  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-10-23
1227   6629332  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-14
1230   6470149    CAHA  AstraLux        i'    0.16   3.23    0.5   2013-06-12
1230   6470149    Keck     NIRC2        K'   99.99   7.00    0.5   2012-07-08
1230   6470149    Keck     NIRC2        K'   99.99   7.20    0.5   2012-07-08
1230   6470149    Keck     NIRC2        K'   99.99   3.21   0.03   2012-07-08
1230   6470149  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-06
1230   6470149    WIYN      DSSI     692nm    0.05   3.71    0.2   2011-06-13
1230   6470149    WIYN      DSSI     880nm    0.05   3.03    0.2   2011-06-13
1232   6665223  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-21
1232   6665223    WIYN      DSSI     880nm    0.05   2.52    0.2   2012-09-30
1232   6665223    WIYN      DSSI     692nm    0.05   3.24    0.2   2012-09-30
1236   6677841    CAHA  AstraLux        i'    0.10   3.39    0.5   2011-06-10
1236   6677841  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-08-06
1236   6677841    WIYN      DSSI     880nm    0.05   2.32    0.2   2011-09-07
1236   6677841    WIYN      DSSI     692nm    0.05   2.53    0.2   2011-09-07
1238   6383821  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-07-25
1239   6607286  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-03
1240   6690082    Lick     IRCAL         H    0.32   5.90    1.0   2013-07-18
1240   6690082  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-03
1241   6448890    Keck     NIRC2        K'   99.99   8.50    0.5   2012-08-13
1241   6448890    Keck     NIRC2        K'   99.99   5.33   0.03   2012-08-13
1241   6448890    Keck     NIRC2        K'   99.99   7.60    0.5   2012-08-13
1241   6448890    Keck     NIRC2        Ks    0.04   5.19    0.5   2014-07-17
1241   6448890    Lick     IRCAL         H    0.27   3.27    0.5   2012-07-08
1241   6448890  Pal1.5   Robo-AO     LP600    0.12   4.50   0.35   2012-09-14
1241   6448890    Pal5     PHARO        Ks    0.15   2.69    0.5   2014-07-13
1241   6448890    WIYN      DSSI     880nm    0.05   2.83    0.2   2011-06-13
1241   6448890    WIYN      DSSI     692nm    0.05   3.91    0.2   2011-06-13
1242   6607447  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-08-06
1245   6693640  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-13
1246   6441738  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-06-19
1255   8494263  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-01
1257   8751933  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-14
1258   8630788  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-03
1261   8678594    Keck     NIRC2         J   99.99  99.99  99.99   2012-08-26
1261   8678594    Keck     NIRC2        K'   99.99  99.99  99.99   2012-08-26
1261   8678594  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-22
1264   8612847  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-31
1266   8547140    Lick     IRCAL         H    0.45   4.50    1.0   2013-07-16
1266   8547140  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-06-17
1268   8813698    CAHA  AstraLux        i'    0.10   3.40    0.5   2011-06-07
1268   8813698  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-22
1270   8564587  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-03
1271   8631160  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-08-06
1271   8631160    WIYN      DSSI     692nm    0.05   2.43    0.2   2011-09-08
1271   8631160    WIYN      DSSI     880nm    0.05   1.86    0.2   2011-09-08
1273   8806072  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-17
1274   8800954    Keck     NIRC2  Br-gamma    0.05   8.53    0.5   2014-09-04
1274   8800954  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-06
1274   8800954  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-10-25
1274   8800954  Pal1.5   Robo-AO        z'    0.12  99.99  99.99   2013-10-25
1274   8800954  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2013-10-25
1274   8800954    Pal5     PHARO        Ks    0.15   3.28    0.5   2014-07-17
1274   8800954    WIYN      DSSI     880nm    0.05   2.29    0.2   2011-06-11
1275   8583696  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-07-28
1276   8804283  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-03
1278   8609450  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-03
1279   8628758     MMT     ARIES        Ks    0.15   8.00    1.0   2012-10-03
1279   8628758  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-08-06
1279   8628758    WIYN      DSSI     880nm    0.05   2.43    0.2   2012-10-01
1279   8628758    WIYN      DSSI     692nm    0.05   2.53    0.2   2012-10-01
1281   8742590  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-15
1282   8822366    Lick     IRCAL         J    0.33   2.77    0.5   2011-09-09
1282   8822366  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-06
1282   8822366    WIYN      DSSI     692nm    0.05   3.37    0.2   2011-06-13
1282   8822366    WIYN      DSSI     880nm    0.05   2.47    0.2   2011-06-13
1283   8700771    Keck     NIRC2        K'   99.99   8.60    0.5   2012-08-13
1283   8700771    Keck     NIRC2        K'   99.99   5.78   0.03   2012-08-13
1283   8700771    Keck     NIRC2        K'   99.99   7.50    0.5   2012-08-13
1283   8700771    Keck     NIRC2        K'    0.05   8.00    0.5   2013-07-07
1283   8700771    Lick     IRCAL         J    0.44   2.40    0.5   2011-09-12
1283   8700771  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-06
1283   8700771    WIYN      DSSI     692nm    0.05   3.48    0.2   2011-06-13
1283   8700771    WIYN      DSSI     880nm    0.05   2.47    0.2   2011-06-13
1288  10790387  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-14
1298  10604335    Keck     NIRC2        K'    0.05   8.00    0.5   2013-07-07
1298  10604335    Keck     NIRC2        K'   99.99   7.30    0.5   2014-07-30
1298  10604335    Keck     NIRC2        K'   99.99   3.48   0.03   2014-07-30
1298  10604335  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-21
1299  10864656    Keck     NIRC2        K'   99.99   9.00    0.5   2012-08-13
1299  10864656    Keck     NIRC2        K'   99.99   5.18   0.03   2012-08-13
1299  10864656    Keck     NIRC2        K'   99.99   7.60    0.5   2012-08-13
1299  10864656    Keck     NIRC2  Br-gamma    0.05   8.76    0.5   2014-09-04
1299  10864656    Keck     NIRC2         J    0.03   7.53    0.5   2014-09-04
1299  10864656    Lick     IRCAL         H    0.26   3.46    0.5   2012-07-07
1299  10864656  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-06
1299  10864656    Pal5     PHARO  Br-gamma    0.14   5.78    0.5   2014-08-08
1299  10864656    WIYN      DSSI     692nm    0.05   3.79    0.2   2011-06-13
1299  10864656    WIYN      DSSI     880nm    0.05   2.53    0.2   2011-06-13
1300  10975146    Keck     NIRC2        K'   99.99   7.80    0.5   2014-07-30
1300  10975146    Lick     IRCAL         H    0.37   4.90    1.0   2013-07-16
1300  10975146  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-16
1301  10538176  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-03
1302  10724369  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-21
1304  10744335  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-10-23
1305  10730034  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-03
1306  10858691  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-04
1307  10973814  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-04
1308  10586208  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-08-06
1309  10854768  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-06
1310  10964440  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-15
1311  10713616  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2012-08-06
1311  10713616  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-14
1311  10713616    Pal5     PHARO        Ks    0.15   4.23    0.5   2014-08-13
1312  10963242  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-17
1314  10585852    Keck     NIRC2        K'   99.99   4.97   0.03   2013-08-06
1314  10585852    Keck     NIRC2        K'   99.99   7.90    0.5   2013-08-06
1314  10585852    Lick     IRCAL         H    0.27   3.33    0.5   2012-09-01
1314  10585852  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-06
1314  10585852    WIYN      DSSI     880nm    0.05   2.24    0.2   2011-06-16
1314  10585852    WIYN      DSSI     692nm    0.05   3.10    0.2   2011-06-16
1315  10928043    Lick     IRCAL         J    0.35   2.67    0.5   2011-09-12
1315  10928043  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-06
1315  10928043    WIYN      DSSI     880nm    0.05   2.06    0.2   2011-06-15
1315  10928043    WIYN      DSSI     692nm    0.05   2.54    0.2   2011-06-15
1316  10794087    Keck     NIRC2        K'    0.05   8.00    0.5   2013-08-21
1316  10794087    Keck     NIRC2        K'   99.99   8.50    0.5   2014-08-13
1316  10794087    Keck     NIRC2        K'   99.99   4.55   0.03   2014-08-13
1316  10794087    Keck     NIRC2        K'   99.99   8.00    0.5   2014-08-13
1316  10794087    Lick     IRCAL         J    0.20   8.00    1.0   2011-09-12
1316  10794087     MMT     ARIES        Ks    0.15   8.00    1.0   2011-10-10
1316  10794087  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-08-06
1316  10794087    Pal5     PHARO        Ks   99.99  99.99  99.99   2013-07-18
1316  10794087    WIYN      DSSI     692nm    0.05   3.23    0.2   2011-06-13
1316  10794087    WIYN      DSSI     880nm    0.05   2.78    0.2   2011-06-13
1323   4076098  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-18
1325   4282872  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-21
1326   4639868    Lick     IRCAL         H    0.25   3.50    0.5   2012-07-10
1326   4639868    Lick     IRCAL         H    0.20   8.00    1.0   2012-08-05
1326   4639868  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-22
1328   4074736  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-21
1329   4072526  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-22
1331   4274548  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-10-23
1332   4455231  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-03
1335   4155328  Pal1.5   Robo-AO        i'    0.15   2.00   0.35   2012-08-06
1335   4155328    Pal5     PHARO        Ks    0.15   4.11    0.5   2014-08-13
1336   4077526  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-04
1337   4243911  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-14
1338   4466677  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-04
1339   4135665  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-18
1341   4650674  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-22
1342   4275721  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-04
1344   4136466     MMT     ARIES        Ks    0.15   8.00    1.0   2012-10-02
1344   4136466  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-06
1351   6964043  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-08-24
1353   7303287    CAHA  AstraLux        i'    0.33   3.30    0.5   2012-05-26
1353   7303287  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-06
1353   7303287    Pal5     PHARO        Ks    0.15   4.30    0.5   2014-08-13
1355   7211141  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-22
1356   7363829    CAHA  AstraLux        i'    0.10   3.88    0.5   2013-06-11
1356   7363829  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-22
1357   6719086  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-18
1358   7376983  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-04
1359   6946199    Keck     NIRC2        Ks   99.99  99.99  99.99   2013-06-25
1359   6946199  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-04
1360   7102227  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-04
1361   6960913    Keck     NIRC2         J   99.99  99.99  99.99   2011-06-24
1361   6960913    Keck     NIRC2        K'   99.99  99.99  99.99   2011-06-24
1361   6960913    Keck     NIRC2         J   99.99  99.99  99.99   2012-06-24
1361   6960913    Keck     NIRC2        K'   99.99  99.99  99.99   2012-06-24
1361   6960913    Keck     NIRC2        K'   99.99   7.80    0.5   2014-08-13
1361   6960913    Keck     NIRC2        K'   99.99   4.17   0.03   2014-08-13
1361   6960913  Pal1.5   Robo-AO        i'    0.15  99.99  99.99   2014-08-20
1361   6960913    WIYN      DSSI     880nm    0.05   2.29    0.2   2011-06-11
1362   6837146  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-21
1363   6936909  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-04
1364   6962977  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-09-04
1366   6932987  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-04
1367   6934291  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-16
1369   7287415  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-06-19
1370   6924203  Pal1.5   Robo-AO     LP600   99.99  99.99  99.99   2013-08-22
1372   6880531  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-10-23
1375   6766634    CAHA  AstraLux        i'    0.19   3.22    0.5   2011-06-06
1375   6766634    CAHA  AstraLux        z'    0.19   2.98    0.5   2011-07-06
1375   6766634    Keck     NIRC2         J    0.04   5.11    0.5   2014-08-17
1375   6766634    Keck     NIRC2         H    0.04   5.48    0.5   2014-08-17
1375   6766634    Keck     NIRC2        Ks    0.04   5.20    0.5   2014-08-17
1375   6766634    Keck     NIRC2         J    0.06   8.02    0.5   2014-09-04
1375   6766634    Keck     NIRC2  Br-gamma    0.06   8.00    0.5   2014-09-04
1375   6766634  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-06
1375   6766634    Pal5     PHARO        Ks    0.15   3.82    0.5   2014-08-13
1375   6766634    WIYN      DSSI     692nm    0.05   2.81    0.2   2011-09-07
1375   6766634    WIYN      DSSI     880nm    0.05   1.64    0.2   2011-09-07
1376   6774826    CAHA  AstraLux        i'    0.10   3.73    0.5   2011-06-07
1376   6774826  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-06
1376   6774826    WIYN      DSSI     692nm    0.05   2.77    0.2   2011-09-09
1376   6774826    WIYN      DSSI     880nm    0.05   1.61    0.2   2011-09-09
1377   7211469  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-17
1378   7375795  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-06
1378   7375795    WIYN      DSSI     880nm    0.05   2.85    0.2   2013-05-26
1378   7375795    WIYN      DSSI     692nm    0.05   2.69    0.2   2013-05-26
1379   7211221  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-08-06
1379   7211221    WIYN      DSSI     692nm    0.05   3.03    0.2   2013-05-26
1379   7211221    WIYN      DSSI     880nm    0.05   2.53    0.2   2013-05-26
1385   9278553  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-01
1387   8949247  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-07-16
1391   8958035  Pal1.5   Robo-AO     LP600    0.12  99.99  99.99   2013-08-13
1393   9202151    Keck     NIRC2        K'   99.99   3.40   0.03   2014-07-29
1393   9202151    Keck     NIRC2        K'   99.99   7.30    0.5   2014-07-29
1393   9202151  Pal1.5   Robo-AO     LP600    0.15   2.00    0.3   2012-07-15
1395   8935810  Pal1.5   Robo-AO     LP600    0.15  99.99  99.99   2014-09-01
1396   9455556  Pal1.5   Robo-AO     LP600    0.14   4.00    0.3   2012-09-04
1397   9427402    Keck     NIRC2        K'   99.99   1.59   0.03   2013-07-28
1397   9427402    Keck     NIRC2        K'   99.99   6.80    0.5   2013-07-28
